city_name_new,state,loc,n
hamirpur(hp),himachal pradesh,Pune City,1
hamirpur(up),uttar pradesh,Pune City,1
hansi,haryana,Pune City,1
hardoi,uttar pradesh,Pune City,1
harur,tamil nadu,Pune City,1
hassan,karnataka,Pune City,1
hathras,uttar pradesh,Pune City,1
hingoli,maharashtra,Pune City,1
pulwama,jammu & kashmir,Pune City,1
puri,odisha,Pune City,1
purulia,west bengal,Pune City,1
puttur,karnataka,Pune City,1
raichur,karnataka,Pune City,1
raigad,maharashtra,Pune City,1
raigarh,chhattisgarh,Pune City,1
rajim,chhattisgarh,Pune City,1
rajpura,punjab,Pune City,1
rajsamand,rajasthan,Pune City,1
ramachandrapuram,andhra pradesh,Pune City,1
ranaghat,west bengal,Pune City,1
ranni,kerala,kalluvathukkal,1
rawatbhata,rajasthan,Pune City,1
duliajan,assam,Pune City,1
ellenabad,haryana,Pune City,1
gadag,karnataka,Pune City,1
gadchiroli,maharashtra,Pune City,1
gajraula,uttar pradesh,Pune City,1
gangapur city,rajasthan,Pune City,1
goalpara,assam,Pune City,1
gohana,haryana,Pune City,1
gokak,karnataka,Pune City,1
dadri,uttar pradesh,Pune City,1
dahanu,maharashtra,Pune City,1
dalkhola,west bengal,Pune City,1
dargamitta,andhra pradesh,Pune City,1
darjeeling,west bengal,Pune City,1
dasuya,punjab,Pune City,1
dausa,rajasthan,Pune City,1
deoria,uttar pradesh,Pune City,1
dera bassi,punjab,Pune City,1
dhampur,uttar pradesh,Pune City,1
dharamshala,himachal pradesh,Pune City,1
dharmavaram,andhra pradesh,Pune City,1
dharwad,karnataka,Pune City,1
dhrangadhra,gujarat,Pune City,1
dindigul,tamil nadu,Pune City,1
doda,jammu & kashmir,Pune City,1
rishikesh,uttarakhand,Pune City,1
sabarkantha,gujarat,Pune City,1
sadabad,uttar pradesh,Pune City,1
saharsa,bihar,Pune City,1
samastipur,bihar,Pune City,1
sampla,haryana,Pune City,1
samrala,punjab,Pune City,1
sangrur,punjab,Pune City,1
sant kabir nagar,uttar pradesh,Pune City,1
sasaram,bihar,Pune City,1
sattenapalli,andhra pradesh,Pune City,1
shahad,maharashtra,Pune City,1
shahbad,haryana,Pune City,1
bodeli,gujarat,Pune City,1
brahmapuri,maharashtra,Pune City,1
budgam,jammu & kashmir,Pune City,1
chalakudy,kerala,Pune City,1
chandauli,uttar pradesh,Pune City,1
chandrapur,maharashtra,Pune City,1
charkhi dadri,haryana,Pune City,1
chattarpur,madhya pradesh,Pune City,1
chengalpattu,tamil nadu,Pune City,1
chitradurga,karnataka,Pune City,1
chitrakoot,uttar pradesh,Pune City,1
chittoor,andhra pradesh,Pune City,1
chomu,rajasthan,Pune City,1
cooch behar,west bengal,Pune City,1
sheikhpura,bihar,Pune City,1
sheohar,bihar,Pune City,1
shikohabad,uttar pradesh,Pune City,1
siddipet,telangana,Pune City,1
silchar,assam,Pune City,1
sindhanur,karnataka,Pune City,1
sinnar,maharashtra,Pune City,1
sivaganga,tamil nadu,Pune City,1
sivasagar,assam,Pune City,1
siwan,bihar,Pune City,1
sohna,haryana,Pune City,1
south 24 parganas,west bengal,Pune City,1
sri muktsar sahib,punjab,Pune City,1
